mot;syllabesOrales;decoupage;phonemeAttaque;frequence;competences;distracteursProches;aVerifier
dinosaure;3;di-no-saure;d;1;syl-seg3|syl-fusion|syl-manip;;oui
perroquet;3;pe-rro-quet;p;2;syl-seg3|syl-fusion|syl-manip;;non
libellule;3;li-be-llule;l;2;syl-seg3|syl-fusion|syl-manip;;oui
coccinelle;3;co-cci-nelle;k;2;syl-seg3|syl-fusion|syl-manip;;oui
tambourin;3;tam-bou-rin;t;3;syl-seg3|syl-fusion|syl-manip;;non
crocodile;3;cro-co-dile;k;1;syl-seg3|syl-fusion|syl-manip;;oui
chapiteau;3;cha-pi-teau;ch;3;syl-seg3|syl-fusion|syl-manip;chapeau;non
magicien;3;ma-gi-cien;m;2;syl-seg3|syl-fusion|syl-manip;;non
pharmacie;3;phar-ma-cie;f;2;syl-seg3|syl-fusion|syl-manip;;non
araignée;3;a-rai-gnée;a;1;syl-seg3|syl-fusion|syl-manip;;non
ordinateur;4;or-di-na-teur;o;1;syl-seg3|syl-manip;aspirateur;non
hélicoptère;4;hé-li-co-ptère;é;2;syl-seg3|syl-manip;;oui
locomotive;4;lo-co-mo-tive;l;2;syl-seg3|syl-manip;;oui
rhinocéros;4;rhi-no-cé-ros;r;2;syl-seg3|syl-manip;hippopotame;non
hippopotame;4;hi-ppo-po-tame;i;2;syl-seg3|syl-manip;rhinocéros;oui
télévision;4;té-lé-vi-sion;t;1;syl-seg3|syl-manip;;non
aspirateur;4;as-pi-ra-teur;a;2;syl-seg3|syl-manip;ordinateur;non
vétérinaire;4;vé-té-ri-naire;v;2;syl-seg3|syl-manip;;oui
caméléon;4;ca-mé-lé-on;k;3;syl-seg3|syl-manip;;non
macaroni;4;ma-ca-ro-ni;m;3;syl-seg3|syl-manip;;non
